Temps,Contrainte,Epsilon 1,Epsilon 2
0.5,0.08055474083,0.0000427806,-0.0000161067
1,0.5837627617,0.000171634,-0.0000634381
1.5,1.091050968,0.0003013827,-0.0001115452
2,1.581543445,0.0004319798,-0.0001596162
2.5,2.085586953,0.0005652267,-0.0002086641
3,2.582279825,0.0006976464,-0.0002576764
3.5,3.087882731,0.000834479,-0.0003086385
4,3.587888968,0.0009717176,-0.0003589099
4.5,4.088373041,0.001107414,-0.0004090579
5,4.587532341,0.0012460919,-0.0004601032
5.5,4.98851246,0.0013378476,-0.0004949136
6,5.003313874,0.0013474021,-0.0004991665
6.633171055,4.999450495,0.001358613819,-0.0005041538133
7.333159708,5.00776925,0.001368277865,-0.0005082840912
8.107017119,4.996785719,0.001375555832,-0.0005115397848
8.96253855,4.998341311,0.001381977439,-0.0005144197728
9.908341882,4.995884164,0.001388151234,-0.0005169746505
10.95395443,4.99611994,0.001396131855,-0.0005205341784
12.10990891,5.004659558,0.001401316481,-0.0005228657386
13.38784954,5.003697206,0.001408295081,-0.0005261807736
14.80064935,5.001092794,0.001413040966,-0.0005283320973
16.36253981,5.003490375,0.00141909245,-0.0005313184885
18.08925424,4.996807708,0.001421627846,-0.0005331114196
19.99818627,4.994166604,0.00142614649,-0.0005350287159
22.10856506,5.000977711,0.00143343472,-0.0005382234023
24.44164897,5.002771856,0.001438215287,-0.0005404943045
27.02093975,4.990647709,0.001441628806,-0.0005420800527
29.87241923,5.001177289,0.00144685319,-0.000544319144
33.0248111,5.01138687,0.001452664671,-0.0005474429885
36.50987018,4.998722454,0.001455043512,-0.0005492023322
40.36270236,4.999768375,0.001458306979,-0.0005498557565
44.62211816,5.00159138,0.001462672256,-0.0005516289049
49.33102377,5.004679916,0.001468887942,-0.0005526257267
54.53685316,5.004498806,0.001473122193,-0.0005535007171
60.29204597,5.002730465,0.001476022294,-0.000554020081
66.6545757,4.999334943,0.001479500923,-0.0005552005353
73.68853371,5.002187626,0.001484034591,-0.0005576546376
81.46477481,4.99840489,0.001488417105,-0.0005588686078
90.06163105,5.002553355,0.001491008919,-0.0005598660338
99.56570071,4.998057609,0.001495555756,-0.000561852892
110.0727207,5.002843307,0.001501100523,-0.0005638484041
121.6885308,5.003091858,0.001505197935,-0.0005641325792
134.53014,5.001139769,0.001509049193,-0.0005649844884
148.7269052,5.005893527,0.001514023191,-0.0005655508093
164.4218337,4.999992192,0.001515394653,-0.000563891366
181.7730247,5.002921882,0.001523052501,-0.0005662333842
200.955261,4.999306936,0.001525302595,-0.0005663306065
222.1617701,4.997079639,0.001527755494,-0.0005687088825
245.6061705,5.001279443,0.001530604414,-0.0005694379738
271.5246236,5.002685046,0.001534968177,-0.0005729877514
300.1782123,5.000225481,0.001538048131,-0.0005756271623
331.8555715,5.001091579,0.001541756752,-0.0005761146499
366.8757953,5.002444369,0.001547408479,-0.0005757303731
405.591651,5.001470405,0.001549192516,-0.0005756266185
448.3931333,4.998570414,0.001538310472,-0.0005774431823
495.7113922,4.995435994,0.001536831761,-0.0005812090837
548.0230764,5.001432716,0.001539866887,-0.0005840171176
605.8551346,5.003096703,0.00154263801,-0.0005818551237
669.7901238,5.000861602,0.001544125656,-0.0005840630747
740.472077,4.993829152,0.001546567929,-0.0005855220935
818.6129914,5.000069849,0.001550099095,-0.0005850631962
905,4.989176278,0.0015494405,-0.0005832868
905.5,4.703523008,0.0014523673,-0.0005483244
906,4.178114302,0.0013200892,-0.000500078
906.5,3.689647616,0.0011901612,-0.0004526378
907,3.184688498,0.0010562572,-0.0004036128
907.5,2.67776368,0.0009212782,-0.0003540507
908,2.18638707,0.0007880572,-0.0003045159
908.5,1.672998614,0.0006490471,-0.0002529726
909,1.187075606,0.0005180832,-0.0002044892
909.5,0.6726456392,0.0003782764,-0.0001525766
910,0.183955766,0.0002498263,-0.0001044436
910.5,-0.00181013588,0.0002155376,-0.000090227
911,0.01684828703,0.0002067183,-0.0000859643
924.5785062,0.01894653545,0.0001377543324,-0.00005409858545
938.3594008,0.01593337202,0.0001197275287,-0.00004602628965
952.3457004,0.0095988569,0.0001071642067,-0.00003996241652
966.5404666,0.02130482099,0.0001015811449,-0.00003726850907
980.9468066,0.01398999685,0.00009395156274,-0.00003135885225
995.5678738,0.01948554874,0.00008827968789,-0.00002821030456
1010.406869,0.0144389153,0.00008263342704,-0.00002577189218
1025.46704,0.01697061883,0.00007638386036,-0.00002477613631
1040.751684,0.01366389146,0.00007404879877,-0.00002414856585
1056.264146,0.01889513657,0.00007270869306,-0.00002355736092
1072.007823,0.02216722283,0.00006694763515,-0.00002306942489
1087.98616,0.01767125235,0.00006496957696,-0.00001977267783
1104.202654,0.02284072617,0.00006435501615,-0.00002053389303
1120.660857,0.02088744759,0.00006316563973,-0.00002018559246
1137.36437,0.01268122768,0.00005962811712,-0.00001750787872
1154.31685,0.01741772762,0.00005982515602,-0.00001792715777
1171.522008,0.003739134298,0.00005486175685,-0.00001586572186
1188.983609,0.006609168293,0.00005330867355,-0.00001433079761
1206.705476,0.01851175057,0.00005252862052,-0.00001477023262
1224.691489,0.01884189677,0.00005102100137,-0.00001344442235
1242.945585,0.01200301009,0.00004740150849,-0.00001460536254
1261.471759,0.01387703182,0.00004667036921,-0.00001367725858
1280.274066,0.01476901371,0.00004468337809,-0.00001286718208
1299.356623,0.01297693181,0.00004299312093,-0.00001427818512
1318.723606,0.01437099231,0.0000434369442,-0.00001349517064
1338.379256,0.02457571163,0.00004401030863,-0.00001311956515
1358.327874,0.01402118715,0.00004115296055,-0.00001309483124
1378.573827,0.02265392684,0.00004223827495,-0.00001166427336
1399.121548,0.02581213034,0.00004122155419,-0.0000104873727
1419.975533,0.01078729604,0.00003747372643,-0.000009804672193
1441.140348,0.01909222541,0.00003810633182,-0.00001070868457
1462.620626,0.01333008311,0.0000362791071,-0.00001080664795
1484.421069,0.02220285512,0.00003604796341,-0.00001008911979
1506.546448,0.02961409957,0.00003886630261,-0.00001222468579
1529.001607,0.01482339605,0.00003461743007,-0.000009838067928
1551.791462,0.01381110578,0.0000346645164,-0.000009510051002
1574.921001,0.0181102093,0.00003349010579,-0.000008979967415
1598.395287,0.01596669857,0.000033918631,-0.000008208334763
1622.219459,0.01568894991,0.00003429732555,-0.000008861827614
1646.398731,0.01891104998,0.00003479927615,-0.000007699221884
1670.938397,0.0202145994,0.00003312347941,-0.000008332541248
1695.843827,0.01817465372,0.00003235421005,-0.000008352214397
1721.120475,0.02141545685,0.00003399810311,-0.000007791440395
1746.773872,0.0120192062,0.00003166553438,-0.000007072290702
1772.809635,0.01817408938,0.00003211291948,-0.000006778618988
1799.233462,0.01564937428,0.00003074006188,-0.000004582886749
1826.051138,0.02320074987,0.0000317054603,-0.000003447441967
1853.268533,0.01153862217,0.00002984131967,-0.000002820879113
1880.891605,0.01955059709,0.00003110307662,-0.00000260701723
1908.9264,0.01142477564,0.00002841411368,-0.000001467721511
1937.379055,0.01690770717,0.00002870533181,-0.000002943132205
1966.255799,0.01829094027,0.00002785626216,-0.000002487503258
