TIME,strainx,strainy,strainxy
5,-0.0000234118,0.0000883552,0.109455E-06
10,-0.0000453908,0.000178799,0.219552E-06
20,-0.0000875906,0.000363122,0.441389E-06
40,-0.000171572,0.000737309,0.890079E-06
80,-0.000339057,0.00149915,0.180018E-05
100,-0.000422424,0.00188331,0.225804E-05
194.95,-0.000409307,0.00195401,0.231443E-05
289.9,-0.000405076,0.00199341,0.234887E-05
479.8,-0.000408224,0.00205831,0.241551E-05
859.6,-0.000427135,0.00217512,0.254842E-05
1619.2,-0.000475208,0.00239841,0.281417E-05
1999,-0.000475208,0.00239841,0.281417E-05
