Temps,Epsilon 11,Epsilon 22
0,3.191687336,-1.420212503
2.222313068,3.268197204,-1.454257276
4.533414686,3.344707073,-1.48830205
6.94046455,3.421216941,-1.522346823
9.45150523,3.497726809,-1.556391596
12.0756109,3.574236678,-1.59043637
14.82306827,3.650746546,-1.624481143
17.70559828,3.727256415,-1.658525916
20.73663005,3.803766283,-1.692570689
23.93164218,3.880276152,-1.726615463
27.30859206,3.95678602,-1.760660236
30.88846122,4.033295889,-1.794705009
34.69595591,4.109805757,-1.828749783
38.76041766,4.186315625,-1.862794556
43.11702218,4.262825494,-1.896839329
47.8083806,4.339335362,-1.930884103
52.88671118,4.415845231,-1.964928876
58.41683516,4.492355099,-1.998973649
64.4803868,4.568864968,-2.033018422
71.1818506,4.645374836,-2.067063196
78.65741079,4.721884705,-2.101107969
87.0882313,4.798394573,-2.135152742
96.72087689,4.874904441,-2.169197516
107.8994746,4.95141431,-2.203242289
121.1173864,5.027924178,-2.237287062
137.1009181,5.104434047,-2.271331836
156.9419892,5.180943915,-2.305376609
182.2882444,5.257453784,-2.339421382
215.5345716,5.333963652,-2.373466155
259.7887161,5.41047352,-2.407510929
318.3955036,5.486983389,-2.441555702
394.831163,5.563493257,-2.475600475
494.6702096,5.640003126,-2.509645249
630.2220086,5.716512994,-2.543690022
830.4952507,5.793022863,-2.577734795
1168.276874,5.869532731,-2.611779568
1788.647421,5.9460426,-2.645824342
2749.935361,6.022552468,-2.679869115
4039.195776,6.099062336,-2.713913888
5860.394505,6.175572205,-2.747958662
8973.896384,6.252082073,-2.782003435
